,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk
196,13567861,15 Temmuz 2023,Satılık,165 M2,5-10,10,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1.580.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
197,13561560,24 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,150 M2,3+1,Bahçe Katı,Sobalı,1.725.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
198,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
199,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
200,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
201,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
202,13559042,24 Temmuz 2023,Satılık,185 M2,2,14,Boş,13 Temmuz 2023,Konut,145 M2,3.5+1,7.Kat,Merkezi (Pay Ölçer),2.295.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
203,13558068,13 Temmuz 2023,Satılık,150 M2,1,12,Mülk Sahibi Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.440.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
204,13554926,23 Temmuz 2023,Satılık,300 M2,21 Ve Üzeri,1,Kiracı Oturuyor,13 Temmuz 2023,Konut,165 M2,3.5+1,Müstakil.Kat,Sobalı,1.000.020TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
205,13554363,13 Temmuz 2023,Satılık,175 M2,1,10,Boş,13 Temmuz 2023,Konut,138 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.755.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
206,13550322,25 Temmuz 2023,Satılık,190 M2,11-15,7,Boş,12 Temmuz 2023,Konut,160 M2,4+1,5.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
207,13549712,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),10,Boş,12 Temmuz 2023,Konut,125 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.050.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Krediye Uygun Değil,
208,13549606,29 Temmuz 2023,Satılık,165 M2,5-10,8,Mülk Sahibi Oturuyor,12 Temmuz 2023,Konut,140 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.675.000TL,Kayseri - Kocasinan - Argıncık Mahallesi,,
209,13349085,03 Haziran 2023,Satılık,170 M2,11-15,4,Mülk Sahibi Oturuyor,03 Haziran 2023,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz,1.450.000TL,Kayseri - Kocasinan - Zümrüt Mahallesi,,
210,13347658,03 Haziran 2023,Satılık,165 M2,0 (Yeni),10,Boş,03 Haziran 2023,Konut,135 M2,3+1,6.Kat,Merkezi (Pay Ölçer),2.050.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,,
211,13346421,18 Temmuz 2023,Satılık,175 M2,5-10,9,Boş,03 Haziran 2023,Konut,135 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.599.000TL,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,,
212,13339887,07 Haziran 2023,Satılık,200 M2,0 (Yeni),14,Boş,02 Haziran 2023,Konut,150 M2,4+1,6.Kat,Merkezi (Pay Ölçer),3.600.000TL,Kayseri - Kocasinan - Yakut Mahallesi,,
213,13339014,29 Temmuz 2023,Satılık,160 M2,0 (Yeni),7,Boş,01 Haziran 2023,Konut,125 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1.650.000TL,Kayseri - Kocasinan - Osmangazi Mahallesi,Bilinmiyor,
214,13335942,04 Temmuz 2023,Satılık,230 M2,0 (Yeni),13,Boş,01 Haziran 2023,Konut,200 M2,4+1,4.Kat,Merkezi (Pay Ölçer),3.550.000TL,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,,
215,13571507,16 Temmuz 2023,Satılık,110 M2,0 (Yeni),9,Boş,16 Temmuz 2023,Konut,85 M2,2+1,4.Kat,Merkezi Doğalgaz,295.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
216,13570748,16 Temmuz 2023,Satılık,100 M2,0 (Yeni),9,Boş,16 Temmuz 2023,Konut,80 M2,2+1,4.Kat,Kombi Doğalgaz,1.345.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,
217,13570531,15 Temmuz 2023,Satılık,105 M2,11-15,5,Boş,15 Temmuz 2023,Konut,90 M2,2+1,3.Kat,Kombi Doğalgaz,1.100.000TL,Kayseri - Kocasinan - Yavuz Selim Mahallesi,,
218,13568576,29 Temmuz 2023,Satılık,200 M2,1,13,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,180 M2,3+1,13.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
219,13567861,15 Temmuz 2023,Satılık,165 M2,5-10,10,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1.580.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
220,13561560,24 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,150 M2,3+1,Bahçe Katı,Sobalı,1.725.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
221,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
222,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
223,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
224,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
225,13559042,24 Temmuz 2023,Satılık,185 M2,2,14,Boş,13 Temmuz 2023,Konut,145 M2,3.5+1,7.Kat,Merkezi (Pay Ölçer),2.295.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
226,13558068,13 Temmuz 2023,Satılık,150 M2,1,12,Mülk Sahibi Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.440.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
227,13554926,23 Temmuz 2023,Satılık,300 M2,21 Ve Üzeri,1,Kiracı Oturuyor,13 Temmuz 2023,Konut,165 M2,3.5+1,Müstakil.Kat,Sobalı,1.000.020TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
228,13554363,13 Temmuz 2023,Satılık,175 M2,1,10,Boş,13 Temmuz 2023,Konut,138 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.755.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
229,13550322,25 Temmuz 2023,Satılık,190 M2,11-15,7,Boş,12 Temmuz 2023,Konut,160 M2,4+1,5.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
230,13549712,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),10,Boş,12 Temmuz 2023,Konut,125 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.050.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Krediye Uygun Değil,
231,13549606,29 Temmuz 2023,Satılık,165 M2,5-10,8,Mülk Sahibi Oturuyor,12 Temmuz 2023,Konut,140 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.675.000TL,Kayseri - Kocasinan - Argıncık Mahallesi,,
232,13303043,27 Mayıs 2023,Satılık,122 M2,0 (Yeni),6,Boş,27 Mayıs 2023,Konut,105 M2,2+1,2.Kat,Merkezi (Pay Ölçer),74.500TL,Kayseri - Kocasinan - Şeker Mahallesi,,
233,13299767,27 Mayıs 2023,Satılık,155 M2,21 Ve Üzeri,13,Mülk Sahibi Oturuyor,27 Mayıs 2023,Konut,140 M2,3+1,9.Kat,Merkezi Doğalgaz,1.275.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
234,13299418,27 Mayıs 2023,Satılık,195 M2,4,12,Kiracı Oturuyor,26 Mayıs 2023,Konut,175 M2,3+1,9.Kat,Merkezi (Pay Ölçer),1.550.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
235,13299415,27 Mayıs 2023,Satılık,160 M2,4,12,Kiracı Oturuyor,26 Mayıs 2023,Konut,155 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1.599.000TL,Kayseri - Kocasinan - Alsancak Mahallesi,Krediye Uygun Değil,
236,13298168,26 Mayıs 2023,Satılık,180 M2,5-10,10,Boş,26 Mayıs 2023,Konut,160 M2,3+1,1.Kat,Merkezi (Pay Ölçer),2.450.000TL,Kayseri - Kocasinan - Yıldızevler Mahallesi,Krediye Uygun Değil,
237,13295322,09 Temmuz 2023,Satılık,90 M2,0 (Yeni),9,Boş,26 Mayıs 2023,Konut,70 M2,1+1,9.Kat,Merkezi (Pay Ölçer),1.050.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,
238,13295317,28 Temmuz 2023,Satılık,130 M2,0 (Yeni),10,Boş,26 Mayıs 2023,Konut,110 M2,3+1,5.Kat,Merkezi Doğalgaz,410.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,Krediye Uygun Değil,
239,13294573,26 Mayıs 2023,Satılık,270 M2,4,14,Kiracı Oturuyor,26 Mayıs 2023,Konut,250 M2,4+1,11.Kat,Merkezi (Pay Ölçer),3.000.000TL,Kayseri - Kocasinan - Alsancak Mahallesi,,
240,13294570,26 Mayıs 2023,Satılık,145 M2,16-20,10,Boş,26 Mayıs 2023,Konut,115 M2,3+1,10.Kat,Kombi Doğalgaz,1.000.000TL,Kayseri - Kocasinan - Gevhernesibe Mahallesi,,
241,13568576,29 Temmuz 2023,Satılık,200 M2,1,13,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,180 M2,3+1,13.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
242,13567861,15 Temmuz 2023,Satılık,165 M2,5-10,10,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1.580.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
243,13561560,24 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,150 M2,3+1,Bahçe Katı,Sobalı,1.725.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
244,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
245,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
246,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
247,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
248,13559042,24 Temmuz 2023,Satılık,185 M2,2,14,Boş,13 Temmuz 2023,Konut,145 M2,3.5+1,7.Kat,Merkezi (Pay Ölçer),2.295.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
249,13558068,13 Temmuz 2023,Satılık,150 M2,1,12,Mülk Sahibi Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.440.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
250,13554926,23 Temmuz 2023,Satılık,300 M2,21 Ve Üzeri,1,Kiracı Oturuyor,13 Temmuz 2023,Konut,165 M2,3.5+1,Müstakil.Kat,Sobalı,1.000.020TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
251,13554363,13 Temmuz 2023,Satılık,175 M2,1,10,Boş,13 Temmuz 2023,Konut,138 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.755.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
252,13550322,25 Temmuz 2023,Satılık,190 M2,11-15,7,Boş,12 Temmuz 2023,Konut,160 M2,4+1,5.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
253,13549712,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),10,Boş,12 Temmuz 2023,Konut,125 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.050.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Krediye Uygun Değil,
254,13549606,29 Temmuz 2023,Satılık,165 M2,5-10,8,Mülk Sahibi Oturuyor,12 Temmuz 2023,Konut,140 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.675.000TL,Kayseri - Kocasinan - Argıncık Mahallesi,,
255,13585413,20 Temmuz 2023,Satılık,175 M2,0 (Yeni),12,Boş,19 Temmuz 2023,Konut,135 M2,3+1,2.Kat,Merkezi Doğalgaz,1.700.000TL,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Bilinmiyor,
256,13585387,19 Temmuz 2023,Satılık,135 M2,0 (Yeni),15,Boş,19 Temmuz 2023,Konut,110 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.100.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,Krediye Uygun Değil,
257,13585377,19 Temmuz 2023,Satılık,205 M2,21 Ve Üzeri,15,Mülk Sahibi Oturuyor,19 Temmuz 2023,Konut,170 M2,4+1,6.Kat,Merkezi (Pay Ölçer),2.480.000TL,Kayseri - Kocasinan - Yakut Mahallesi,Krediye Uygun Değil,
258,13583809,18 Temmuz 2023,Satılık,185 M2,5-10,12,Mülk Sahibi Oturuyor,18 Temmuz 2023,Konut,145 M2,3+1,9.Kat,Merkezi (Pay Ölçer),1.325.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,Krediye Uygun Değil,
259,13580320,18 Temmuz 2023,Satılık,120 M2,0 (Yeni),12,Boş,18 Temmuz 2023,Konut,110 M2,2+1,5.Kat,Merkezi (Pay Ölçer),300.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,Bilinmiyor,
260,13577332,17 Temmuz 2023,Satılık,180 M2,5-10,8,Kiracı Oturuyor,17 Temmuz 2023,Konut,150 M2,3+1,1.Kat,Merkezi Doğalgaz,1.550.000TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
261,13571507,16 Temmuz 2023,Satılık,110 M2,0 (Yeni),9,Boş,16 Temmuz 2023,Konut,85 M2,2+1,4.Kat,Merkezi Doğalgaz,295.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
262,13570748,16 Temmuz 2023,Satılık,100 M2,0 (Yeni),9,Boş,16 Temmuz 2023,Konut,80 M2,2+1,4.Kat,Kombi Doğalgaz,1.345.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,
263,13570531,15 Temmuz 2023,Satılık,105 M2,11-15,5,Boş,15 Temmuz 2023,Konut,90 M2,2+1,3.Kat,Kombi Doğalgaz,1.100.000TL,Kayseri - Kocasinan - Yavuz Selim Mahallesi,,
264,13568576,29 Temmuz 2023,Satılık,200 M2,1,13,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,180 M2,3+1,13.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
265,13567861,15 Temmuz 2023,Satılık,165 M2,5-10,10,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1.580.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
266,13561560,24 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,150 M2,3+1,Bahçe Katı,Sobalı,1.725.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
267,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
268,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
269,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
270,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
271,13559042,24 Temmuz 2023,Satılık,185 M2,2,14,Boş,13 Temmuz 2023,Konut,145 M2,3.5+1,7.Kat,Merkezi (Pay Ölçer),2.295.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
272,13558068,13 Temmuz 2023,Satılık,150 M2,1,12,Mülk Sahibi Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.440.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
273,13554926,23 Temmuz 2023,Satılık,300 M2,21 Ve Üzeri,1,Kiracı Oturuyor,13 Temmuz 2023,Konut,165 M2,3.5+1,Müstakil.Kat,Sobalı,1.000.020TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
274,13554363,13 Temmuz 2023,Satılık,175 M2,1,10,Boş,13 Temmuz 2023,Konut,138 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.755.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
275,13550322,25 Temmuz 2023,Satılık,190 M2,11-15,7,Boş,12 Temmuz 2023,Konut,160 M2,4+1,5.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
276,13549712,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),10,Boş,12 Temmuz 2023,Konut,125 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.050.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Krediye Uygun Değil,
277,13549606,29 Temmuz 2023,Satılık,165 M2,5-10,8,Mülk Sahibi Oturuyor,12 Temmuz 2023,Konut,140 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.675.000TL,Kayseri - Kocasinan - Argıncık Mahallesi,,
278,13585413,20 Temmuz 2023,Satılık,175 M2,0 (Yeni),12,Boş,19 Temmuz 2023,Konut,135 M2,3+1,2.Kat,Merkezi Doğalgaz,1.700.000TL,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Bilinmiyor,
279,13585387,19 Temmuz 2023,Satılık,135 M2,0 (Yeni),15,Boş,19 Temmuz 2023,Konut,110 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.100.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,Krediye Uygun Değil,
280,13585377,19 Temmuz 2023,Satılık,205 M2,21 Ve Üzeri,15,Mülk Sahibi Oturuyor,19 Temmuz 2023,Konut,170 M2,4+1,6.Kat,Merkezi (Pay Ölçer),2.480.000TL,Kayseri - Kocasinan - Yakut Mahallesi,Krediye Uygun Değil,
281,13583809,18 Temmuz 2023,Satılık,185 M2,5-10,12,Mülk Sahibi Oturuyor,18 Temmuz 2023,Konut,145 M2,3+1,9.Kat,Merkezi (Pay Ölçer),1.325.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,Krediye Uygun Değil,
282,13580320,18 Temmuz 2023,Satılık,120 M2,0 (Yeni),12,Boş,18 Temmuz 2023,Konut,110 M2,2+1,5.Kat,Merkezi (Pay Ölçer),300.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,Bilinmiyor,
283,13577332,17 Temmuz 2023,Satılık,180 M2,5-10,8,Kiracı Oturuyor,17 Temmuz 2023,Konut,150 M2,3+1,1.Kat,Merkezi Doğalgaz,1.550.000TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
284,13571507,16 Temmuz 2023,Satılık,110 M2,0 (Yeni),9,Boş,16 Temmuz 2023,Konut,85 M2,2+1,4.Kat,Merkezi Doğalgaz,295.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
285,13570748,16 Temmuz 2023,Satılık,100 M2,0 (Yeni),9,Boş,16 Temmuz 2023,Konut,80 M2,2+1,4.Kat,Kombi Doğalgaz,1.345.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,
286,13570531,15 Temmuz 2023,Satılık,105 M2,11-15,5,Boş,15 Temmuz 2023,Konut,90 M2,2+1,3.Kat,Kombi Doğalgaz,1.100.000TL,Kayseri - Kocasinan - Yavuz Selim Mahallesi,,
287,13568576,29 Temmuz 2023,Satılık,200 M2,1,13,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,180 M2,3+1,13.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
288,13567861,15 Temmuz 2023,Satılık,165 M2,5-10,10,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1.580.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
289,13561560,24 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,150 M2,3+1,Bahçe Katı,Sobalı,1.725.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
290,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
291,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
292,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
293,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
